"id","vessel_code","form_fm","form_date","no_form1a","no_pkk","bentuk_3a","start_date","end_date","createdAt","updatedAt","correction","split_to","no_invoice"
433,MDG7X,FM/01/01/01/74,2022-10-13 19:24:23.000,"202213000060",MDG713000001,"070.202202001169-FS",2022-09-15 22:30:00.000,2022-09-20 08:00:00.000,2022-10-13 19:24:23.834 +0700,2022-10-13 19:24:23.834 +0700,N,,
437,SKI3X,FM/01/01/01/74,2022-10-13 19:34:51.000,"202213000066",SKI313000004,"070.202202001173-FS",2022-09-18 06:00:00.000,2022-09-18 19:00:00.000,2022-10-13 19:34:51.133 +0700,2022-10-13 19:34:51.133 +0700,N,,
440,SKI3X,FM/01/01/01/74,2022-10-13 21:37:05.000,"202213000022",SKI313000002,"070.202202001176-FS",2022-09-10 07:00:00.000,2022-09-10 11:00:00.000,2022-10-13 21:37:05.760 +0700,2022-10-13 21:37:05.760 +0700,N,,"070.12204.22.00001336R3"
441,TUKA,FM/01/01/01/74,2022-10-13 21:54:24.000,"202213000061",TUKA13000001,"010.202202001177-FS",2022-09-15 11:28:00.000,2022-09-20 11:29:00.000,2022-10-13 21:54:25.000 +0700,2022-10-13 21:54:25.000 +0700,N,,
442,MLB1X,FM/01/01/01/74,2022-10-13 21:58:52.000,"202213000023",MLB113000001,"070.202202001178-FS",2022-09-09 15:00:00.000,2022-09-13 09:00:00.000,2022-10-13 21:58:52.497 +0700,2022-10-13 21:58:52.497 +0700,N,,
446,DRV0X,FM/01/01/01/74,2022-10-14 13:37:17.000,"202213000029",DRV013000001,"070.202202001179-FS",2022-09-10 08:00:00.000,2022-09-10 11:00:00.000,2022-10-14 13:37:17.275 +0700,2022-10-14 13:37:17.275 +0700,N,,
447,DKI1,FM/01/01/01/74,2022-10-14 13:40:12.000,"202213000212",DKI113000016,"070.202202001180-FS",2022-10-07 22:11:00.000,2022-10-08 12:11:00.000,2022-10-14 13:40:12.972 +0700,2022-10-14 13:40:12.972 +0700,N,,
448,DKI1,FM/01/01/01/74,2022-10-14 13:41:24.000,"202213000240",DKI113000018,"070.202202001181-FS",2022-10-12 08:00:00.000,2022-10-12 15:00:00.000,2022-10-14 13:41:24.567 +0700,2022-10-14 13:41:24.567 +0700,N,,
449,DKV1X,FM/01/01/01/74,2022-10-14 13:42:27.000,"202213000084",DKV113000005,"070.202202001182-FS",2022-09-21 08:00:00.000,2022-09-21 11:00:00.000,2022-10-14 13:42:27.238 +0700,2022-10-14 13:42:27.238 +0700,N,,
455,IN26,FM/01/01/01/74,2022-10-15 21:43:19.000,"202213000159",IN2613000002,"010.202202001184-FS",2022-09-30 08:00:00.000,2022-10-10 08:00:00.000,2022-10-15 21:43:19.055 +0700,2022-10-15 21:43:19.055 +0700,N,,
468,GS88X,FM/01/01/01/74,2022-10-20 10:21:05.000,"202213000006",GS8813000002,"070.202202001186-FS",2022-09-10 23:00:00.000,2022-09-30 09:00:00.000,2022-10-20 10:21:05.284 +0700,2022-10-20 10:21:05.284 +0700,N,,"070.12204.22.00001091R3"
470,MS44X,FM/01/01/01/74,2022-10-20 10:41:16.000,"202213000041",MS4413000001,"070.202202001188-FS",2022-09-12 16:00:00.000,2022-09-15 08:00:00.000,2022-10-20 10:41:16.905 +0700,2022-10-20 10:41:16.905 +0700,N,,
480,DKV1X,FM/01/01/01/74,2022-10-21 15:39:36.000,"202213000065",DKV113000004,"070.202202001189-FS",2022-09-17 20:00:00.000,2022-09-18 03:32:00.000,2022-10-21 15:39:36.705 +0700,2022-10-21 15:39:36.705 +0700,N,,
481,DRV0X,FM/01/01/01/74,2022-10-21 15:42:22.000,"202213000231",DRV013000007,"070.202202001190-FS",2022-10-10 05:00:00.000,2022-10-10 22:00:00.000,2022-10-21 15:42:22.924 +0700,2022-10-21 15:42:22.924 +0700,N,,
482,MDQ9X,FM/01/01/01/74,2022-10-21 15:47:39.000,"202213000101",MDQ913000002,"070.202202001191-FS",2022-09-22 02:17:00.000,2022-09-25 09:18:00.000,2022-10-21 15:47:39.913 +0700,2022-10-21 15:47:39.913 +0700,N,,
487,DFV0X,FM/01/01/01/74,2022-10-24 11:03:00.000,"202213000008",DFV013000001,"070.202202001192-FS",2022-09-07 06:00:00.000,2022-09-07 11:00:00.000,2022-10-24 11:03:00.962 +0700,2022-10-24 11:03:00.962 +0700,N,,"070.12204.22.00001316R3"
489,DHOP,FM/01/01/01/74,2022-10-24 11:28:04.000,"202213000020",DHOP13000001,"010.202202001194-FS",2022-09-11 23:00:00.000,2022-09-25 23:00:00.000,2022-10-24 11:28:04.920 +0700,2022-10-24 11:28:04.920 +0700,N,,
490,DU03,FM/01/01/01/74,2022-10-24 11:28:45.000,"202213000069",DU0313000002,"010.202202001195-FS",2022-09-21 23:00:00.000,2022-10-05 23:00:00.000,2022-10-24 11:28:45.951 +0700,2022-10-24 11:28:45.951 +0700,N,,
491,DFV0X,FM/01/01/01/74,2022-10-24 11:28:48.000,"202213000064",DFV013000003,"070.202202001196-FS",2022-09-18 08:00:00.000,2022-09-18 15:00:00.000,2022-10-24 11:28:48.561 +0700,2022-10-24 11:28:48.561 +0700,N,,
